AREG,StrDatZeit,NT,WTN,WTX,DatZeit_UTC,Datum_UTC,Zeit_UTC,DatZeit_LT,Datum_LT,Zeit_LT,IATA,ICAO,CATY,ORDE,STA_STD,BW,RW,RT,SID,FTYP,TYSP,LK,STGR,IVF,MTW,TOW
HBJCT,251202123902,T,3,Dienstag,02.12.2025 11:39:02,02.12.2025,11:39:02,02.12.2025 12:39:02,02.12.2025,12:39:02,LX550,SWR1WY,10,LFBD,1115,S,28,K,V4W,BCS3,300,5,28030.0,I,65,52.0
HBJGP,251207163654,T,1,Sonntag,07.12.2025 15:36:54,07.12.2025,15:36:54,07.12.2025 16:36:54,07.12.2025,16:36:54,PJZ238,PJZ238,31,LEBB,1605,L,14,,,GLEX,,4,27690.0,I,44,
CSLTD,251201193746,T,2,Montag,01.12.2025 18:37:46,01.12.2025,18:37:46,01.12.2025 19:37:46,01.12.2025,19:37:46,NJE511W,NJE511W,31,LIML,1840,L,14,,,C68A,,5,77410.0,I,13,
CSDIY,251206094645,T,7,Samstag,06.12.2025 08:46:45,06.12.2025,08:46:45,06.12.2025 09:46:45,06.12.2025,09:46:45,CSDIY,DBT526,31,LFPB,0815,S,28,K,V4W,C25B,,5,77520.0,I,6,
HBAZC,251209101936,T,3,Dienstag,09.12.2025 09:19:36,09.12.2025,09:19:36,09.12.2025 10:19:36,09.12.2025,10:19:36,LX1850,SWR7CE,10,LGTS,0900,S,28,I,D3W,E290,300ST,5,28520.0,I,50,48.0
OELZF,251208161607,T,2,Montag,08.12.2025 15:16:07,08.12.2025,15:16:07,08.12.2025 16:16:07,08.12.2025,16:16:07,OS141,AUA141,10,LOWW,1520,L,14,,,A320,214SL,4,27050.0,I,77,
HBJHJ,251205130912,T,6,Freitag,05.12.2025 12:09:12,05.12.2025,12:09:12,05.12.2025 13:09:12,05.12.2025,13:09:12,LX086,SWR86,10,CYUL,1140,S,16,E,V4S,A333,343E,2,27100.0,I,233,219.0
HBJNC,251202230655,N,3,Dienstag,02.12.2025 22:06:55,02.12.2025,22:06:55,02.12.2025 23:06:55,02.12.2025,23:06:55,LX138,SWR138,10,VHHH,2140,S,32,O,D4N,B77W,3DEER,2,27370.0,I,351,311.0
9HEXZ,251202155530,T,3,Dienstag,02.12.2025 14:55:30,02.12.2025,14:55:30,02.12.2025 15:55:30,02.12.2025,15:55:30,EW9763,EWG59G,10,EDDL,1450,S,28,I,D3W,A319,132,4,27080.0,I,68,
HBJDJ,251204105108,T,5,Donnerstag,04.12.2025 09:51:08,04.12.2025,09:51:08,04.12.2025 10:51:08,04.12.2025,10:51:08,LX2807,SWR5EW,10,LSGG,1000,L,14,,,A20N,,4,28110.0,I,73,
HBIHY,251205083631,T,6,Freitag,05.12.2025 07:36:31,05.12.2025,07:36:31,05.12.2025 08:36:31,05.12.2025,08:36:31,WK318,EDW318B,10,ENTC,0715,S,28,I,D3W,A320,214,4,27050.0,I,77,70.0
GNEOY,251203130215,T,4,Mittwoch,03.12.2025 12:02:15,03.12.2025,12:02:15,03.12.2025 13:02:15,03.12.2025,13:02:15,BA713,BAW3ZL,10,EGLL,1135,S,28,K,V4W,A21N,251NX,5,28220.0,I,89,
HBJMI,251205062656,T,6,Freitag,05.12.2025 05:26:56,05.12.2025,05:26:56,05.12.2025 06:26:56,05.12.2025,06:26:56,LX283,SWR283,10,FAOR,0510,L,34,,,A343,313E,2,47300.0,I,275,
HBAZE,251203132427,T,4,Mittwoch,03.12.2025 12:24:27,03.12.2025,12:24:27,03.12.2025 13:24:27,03.12.2025,13:24:27,LX1662,SWR5PF,10,LIPZ,1155,S,28,K,V4W,E290,300ST,5,28520.0,I,50,46.0
OOSSF,251204204015,T,5,Donnerstag,04.12.2025 19:40:15,04.12.2025,19:40:15,04.12.2025 20:40:15,04.12.2025,20:40:15,SN2736,BEL2UL,10,EBBR,1915,S,28,K,V4W,A319,111,4,27080.0,I,64,54.0
CFIUF,251204100018,T,5,Donnerstag,04.12.2025 09:00:18,04.12.2025,09:00:18,04.12.2025 10:00:18,04.12.2025,10:00:18,AC880,ACA880,10,CYYZ,0925,L,14,,,B77L,233LR,2,27380.0,I,344,
HBIOH,251201081220,T,2,Montag,01.12.2025 07:12:20,01.12.2025,07:12:20,01.12.2025 08:12:20,01.12.2025,08:12:20,LX632,SWR3PE,10,LFPG,0625,S,28,K,V4W,A321,111,3,27070.0,I,83,69.0
